id,ingredients,nutrition,ingredients_viewmore,saturated,sugar,sodium,energy,Protein
51,"Biscuits Wheat Flour, Sugar, Vegetable Oil, Golden Syrup, Baking Powder, Salt, Starch (Wheat), Milk Solids, Emulsifier (Soy Lecithin), Natural Flavour, Antioxidant (E307b From Soy).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1850kJ  450kJ Protein 6.6g  1.6g Fat, total 11.9g  2.9g – saturated 5.9g  1.4g Carbohydrate 75.1g  18.3g – sugars 21.3g  5.2g Sodium 192mg  47mg",null,5.9g,21.3g,192mg,1850kJ,6.6g
52,"Noodles and chips (51%) (Yellow Peas, Chick Peas, Sunflower and/or Canola Oil, Rice, Potato, Tapioca, Salt, Sesame Seeds, Cumin), Peas, Peanuts, Sultanas, Sunflower and/or Canola Oil, Salt, Spices (Fennel Seeds, Chilli, Turmeric, Paprika), Maltodextrin, Sugar.",null,null,null,null,null,null,null
53,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2090kJ  Approx.523kJ Protein Approx.5g  Approx.1.3g Fat, total Approx.25.4g  Approx.6.3g – saturated Approx.15.3g  Approx.3.8g Carbohydrate Approx.60.9g  Approx.15.2g – sugars Approx.50.6g  Approx.12.7g Sodium Approx.156mg  Approx.39mg","Milk Chocolate (76.5%) [Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Emulsifiers (322 (Soy), 476), Natural Flavour], Raspberry Liquorice (20%) [Wheat Flour, Sugar, Glucose Syrup, Water, Humectant (422), Vegetable Oil, Acidity Regulators (296, 330), Natural Flavour, Salt, Liquorice Extract (0.1%), Natural Colours (100, 120)], Raspberry Chips (3.5%) [Glucose Syrup, Sugar, Vegetable Fat, Natural Colours (160a, 163), Natural Flavour], Natural Flavour, Milk Chocolate contains a minimum 31% Cocoa Solids and a minimum 24% Milk Solids View more",Approx.15.3g,Approx.50.6g,Approx.156mg,Approx.2090kJ,Approx.5g
54,"Rice (91%), Sugar, Vegetable Oil (Antioxidants (E307b)), Salt, Gluten Free Soy Sauce Powder (Hydrolysed Wheat), Flavour Enhancers (627, E631).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1690kJ  423kJ Protein 6.9g  1.7g Fat, total 3.6g  0.9g – saturated 1.7g  0.4g Carbohydrate 84.9g  21.2g – sugars 3.4g  0.9g Sodium 404mg  101mg",null,1.7g,3.4g,404mg,1690kJ,6.9g
55,"Full Cream Milk, Sugar, Cocoa Butter, Cocoa Mass, Milk Solids, Emulsifiers (Soy Lecithin, 476), Flavours.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2230kJ  436kJ Protein 7.6g  1.5g Fat, total 29.6g  5.8g – saturated 18.9g  3.7g Carbohydrate 57.9g  11.3g – sugars 56.6g  11.0g Sodium 83mg  16mg",null,18.9g,56.6g,83mg,2230kJ,7.6g
56,"Sugar, Wheat Flour, Vegetable Oil, Starch (Wheat), Cocoa Powder, Salt, Food Colours (Caramel III) Cochineal, Allura Red AC, Sunset Yellow FCF),  Emulsifier (Soy Lecithin), Food Acid (Citric Acid), Antioxidant (E307b from Soy), Baking Powder, Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2180kJ  364kJ Protein 2.8g  0.5g Fat, total 26.0g  4.3g – saturated 12.9g  2.2g Carbohydrate 68.4g  11.4g – sugars 44.2g  7.4g Sodium 53mg  9mg",null,12.9g,44.2g,53mg,2180kJ,2.8g
57,"Wheat Flour, Sugar, Vegetable Oil, Cocoa Powder, Fructose Syrup, Cornstarch, Salt, Raising Agents (500, 503), Emulsifier (Soy Lecithin), Flavours, Antioxidant (319).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2040kJ  580kJ Protein 4.7g  1.3g Fat, total 21.1g  6.0g – saturated 10.0g  2.9g Carbohydrate 67.5g  19.2g – sugars 36.0g  10.3g Sodium 517mg  147mg",null,10.0g,36.0g,517mg,2040kJ,4.7g
58,"FULL CREAM MILK, SUGAR, COCOA BUTTER, COCOA MASS, MILK SOLIDS, EMULSIFIERS (SOY LECITHIN, 476), FLAVOURS.  MILK CHOCOLATE CONTAINS COCOA SOLIDS 26%, MILK SOLIDS MINIMUM 24%.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Fat, total 28.8g  8.6g – saturated 18.5g  5.6g Sodium 84mg  25mg",null,null,null,null,28.8g,18.5g
59,null,null,null,null,null,null,null,null
60,null,null,null,null,null,null,null,null
61,"Wholegrain (80%) [Wheat], Seeds (6.5%) [Sesame], Vegetable Oil, Salt, Sugar.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1760kJ  408kJ Protein 12.0g  2.8g Fat, total 11.7g  2.7g – saturated 1.7g  0.4g Carbohydrate 60.8g  14.1g – sugars 1.6g  0.4g Sodium 512mg  119mg",null,1.7g,1.6g,512mg,1760kJ,12.0g
62,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2100  525 Protein 6.4  1.6 Fat, total 22.9  5.7 – saturated 14.1  3.5 Carbohydrate 66.1  16.5 – sugars 55.5  13.9 Sodium 108  27mg","SUGAR, MILK SOLIDS, COCOA BUTTER, GLUCOSE SYRUP (SOURCES INCLUDE WHEAT), COCOA MASS, BARLEY MALT EXTRACT, VEGETABLE FAT, EMULSIFIERS (SOY LECITHIN, 492), WHEAT GLUTEN, RAISING AGENTS (501, 500), SALT, PECTIN, NATURAL FLAVOUR
(VANILLA EXTRACT). MILK CHOCOLATE CONTAINS A MINIMUM OF 25% COCOA SOLIDS AND 22% MILK SOLIDS. View more",14.1,55.5,108,2100,6.4
63,"Rice (61 %), Tapioca Starch, Pumpkin Powder (12%), Vegetable Oil, Sugar, Salt, Maltodextrin, Natural Flavours (Soy), Whey Powder (Milk), Buttermilk Powder (Milk), Garlic Powder, Food Acid (Citric Acid), Herb (Parsley), Spice (Black Pepper), Natural Colour (Paprika Extract).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1670kJ  417kJ Protein 5.9g  1.5g Fat, total 5.1g  1.3g – saturated 1.2g  0.3g Carbohydrate 80.7g  20.2g – sugars 6.4g  1.6g Sodium 477mg  119mg",null,1.2g,6.4g,477mg,1670kJ,5.9g
64,null,null,null,null,null,null,null,null
65,"Wheat Flour, Cheese (15%) (Milk Solids, Salt), Vegetable Oil, Salt, Yeast, Yeast Extract (Contains Barley), Malt Extract (From Barley), Wheat Starch, Sugar, Natural Flavour, Baking Powder, Worcestershire Sauce. Milk Solids. Spice, Vegetable Extract, Emulsifier (Soy Lecithin), Antioxidants (E307b From Soy, E304).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2000kJ  500kJ Protein 11.7g  2.9g Fat, total 21.1g  5.3g – saturated 6.7g  1.7g Carbohydrate 58.4g  14.6g – sugars 1.2g  0.3g Sodium 764mg  191mg",null,6.7g,1.2g,764mg,2000kJ,11.7g
66,"Sugar, Wheat Flour, Soya Beans, Vegetable Oils, Glucose-Fructose Syrup, Rice Flour, Dextrose, Almonds (0.9%), Stabilizer: (420), Apricot Kernels, Barn Egg Yolk, Natural Lemon Flavour, Natural Almond Flavour, Natural Butter Flavour (Milk), Salt, Emulsifier: (322 (Soya)), Raising Agents: (450, 500), Preservative: (202)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx. 1606kJ  Approx. 883kJ Protein Approx. 5.8g  Approx. 3.2g Fat, total Approx. 12.5g  Approx. 6.9g – saturated Approx. 5.5g  Approx. 3g Carbohydrate Approx. 60.6g  Approx. 33.3g – sugars Approx. 38.2g  Approx. 21g Sodium Approx. 110mg  Approx. 61mg",null,Approx. 5.5g,Approx. 38.2g,Approx. 110mg,Approx. 1606kJ,Approx. 5.8g
67,"Coconut, Preservatives (220, 223)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2690kJ  Approx.806kJ Protein Approx.1.2g  Approx.0.4g Fat, total Approx.65.4g  Approx.19.6g – saturated Approx.57.7g  Approx.17.3g Carbohydrate Approx.7.3g  Approx.2.2g – sugars Approx.6.6g  Approx.2g Sodium Approx.15mg  <5mg",null,Approx.57.7g,Approx.6.6g,Approx.15mg,Approx.2690kJ,Approx.1.2g
68,"Molasses, Wheat Flow, Sugar, Treacle, Invert Syrup, Colour (150c), Vegetable Fat, Licorice Extract (1%), Emulsifier (471), Flavour, Preservative (200).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1430kJ  286kJ Protein 3g  0.8g Fat, total 2g  0.4g Carbohydrate 75g  15.1g – sugars 45g  9.0g Sodium 100mg  22mg",null,75g,100mg,null,1430kJ,3g
69,"Ingredients       Sugar,  Milk  Solids, Vegetable Fat [Emulsifier ( Soy  Lecithin)],  Wheat  Flour, Cocoa Butter, Cocoa Mass, Choc Paste ( Milk ,  Wheat ,  Soy ), Yeast, Cocoa, Emulsifiers ( Soy  Lecithin, 476), Colour (141), Flavour, Salt, Raising Agent (Sodium Bicarbonate), Glucose.       Contains Milk, Soy & Wheat.  May Contain Tree Nuts.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2180kJ  Approx.490kJ Protein Approx.7.3g  Approx.1.6g Fat, total Approx.29.4g  Approx.6.6g – saturated Approx.17.6g  Approx.4g Carbohydrate Approx.56.4g  Approx.12.7g – sugars Approx.49.7g  Approx.11.2g Sodium Approx.92mg  Approx.21mg",null,Approx.17.6g,Approx.49.7g,Approx.92mg,Approx.2180kJ,Approx.7.3g
70,"Sugar, vegetable fats, cocoa butter, cocoa mass, whole milk powder, skim milk powder, lactose, milk fat, emulsifier (soy lecithin), barley malt extract, flavourings.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2590kJ  646kJ Protein 5.0g  1.3g Fat, total 47.0g  11.7g – saturated 34.0g  8.5g Carbohydrate 44.0g  11.0g – sugars 42.0g  10.5g Sodium 67mg  17mg",null,34.0g,42.0g,67mg,2590kJ,5.0g
71,null,null,null,null,null,null,null,null
72,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx. 1660kJ  Approx. 415kJ Protein Approx. 11.4g  Approx. 2.9g Fat, total Approx. 24.5g  Approx. 6.1g – saturated Approx. 11.8g  Approx. 3g Carbohydrate Approx. 32.5g  Approx. 8.1g – sugars Approx. 5.4g  Approx. 1.4g Sodium Approx. 1100mg  Approx. 275mg","Cheese Dip (Cheddar Cheese (50%) (Milk, Salt, Starter Culture, Non Animal Rennet), Water, Milk Solids, Table Spread (Canola Oil, Palm Oil, Water, Salt, Emulsifiers (471, Soy Lecithin), Preservative (202), Vitamins (A, D), Acidity Regulator (330), Natural Colour (Beta-Carotene), Natural Flavour), Canola Oil, Emulsifiers (452, 339), Salt, Preservatives (202, 234)), Crispbread (Biscuit Flour (Wheat Flour, Minerals (Iron, Zinc), Vitamins (Niacin, Thiamin, Folate, Riboflavin), Wheat Starch, Anti Caking Agent (551)), Wheat Bran, Shortening (Palm Oil, Antioxidants (Soy Lecithin, 307b (Soy), 330)), Sugar, Raising Agents (503, 450, 500, 504), Glucose Syrup (Wheat), Salt, Preservative (223)) View more",Approx. 11.8g,Approx. 5.4g,Approx. 1100mg,Approx. 1660kJ,Approx. 11.4g
73,"Wheat flour, coconut oil, glucose syrup, sugar, hazelnuts 9% in the cream filling, whey powder (milk), soy flour, skimmed milk powder, fat-reduced cocoa, dextrose, barley malt extract, raising agents (sodium hydrogen carbonate, disodium diphosphate), salt, emulsifier soy lecithins, Bourbon vanilla pods, spices","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2135kJ  641kJ Protein 8.1g  2.4g Fat, total 26.7g  8.0g – saturated 19.4g  5.8g Carbohydrate 59.3g  17.8g – sugars 25.9g  7.8g Sodium 134mg  40mg",null,19.4g,25.9g,134mg,2135kJ,8.1g
74,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1800kJ  Approx.450kJ Protein Approx.4.5g  Approx.1.1g Fat, total Approx.16.3g  Approx.4.1g – saturated Approx.10g  Approx.2.5g Carbohydrate Approx.66.8g  Approx.16.7g – sugars Approx.49.8g  Approx.12.4g Sodium Approx.73mg  Approx.18mg","Milk Chocolate (50%) [Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Emulsifiers (322 (Soy), 476), Natural Flavour], Raspberry Liquorice (50%) [Sugar, Glucose Syrup, Wheat Flour, Invert Syrup, Water, Wheat Fibre, Sunflower Oil, Natural Flavour, Acidity Regulators (330, 296, 331), Natural Colours (163, 100), Emulsifier (471), Salt, Liquorice Extract], Glazing Agents (414, 904), Milk Chocolate contains a minimum 31% Cocoa Solids and minimum 24% Milk Solids View more",Approx.10g,Approx.49.8g,Approx.73mg,Approx.1800kJ,Approx.4.5g
75,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1635kJ  Approx.360kJ Protein Approx.11.3g  Approx.2.5g Fat, total Approx.24.3g  Approx.5.3g – saturated Approx.12.1g  Approx.2.7g Carbohydrate Approx.30.9g  Approx.6.8g – sugars Approx.4.6g  Approx.1g Sodium Approx.805mg  Approx.175mg","Cheese Spread [Cheddar Cheese (49%)( Milk , Salt, Starter Culture), Water, Margarine (Vegetable Oils, Water, Salt,  Milk  Solids, Emulsifiers [ Soy  Lecithin, 471], Antioxidants [304, 307b]), Whey Powder ( Milk ),  Milk  Mineral, Mineral Salts (339, 452), Preservative (234)].      Cracker [ Wheat  Flour, Vegetable Fats and Oils (Antioxidants [307, 307b]), Wholemeal  Wheat  Flour, Sugar,  Wheat  Bran, Invert Syrup, Salt, Raising Agents (503, 500), Poppy Seeds,  Wheat  Germ].        Contains: Gluten (Wheat), Milk and Soy.          May Contain Egg, Tree Nuts and Peanuts. View more",Approx.12.1g,Approx.4.6g,Approx.805mg,Approx.1635kJ,Approx.11.3g
76,null,null,null,null,null,null,null,null
77,"Wheat Flour, Vegetable Oil (Contains Antioxidant (330)), Sugar, Raising Agents (341, 501, 503), Salt, Malted Barley Flour, Glucose Syrup, Mineral Salts (576, 551).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1930kJ  605kJ Protein 8.3g  2.6g Fat, total 18.0g  5.6g – saturated 1.7g  <1.0g Carbohydrate 64.7g  20.2g – sugars 9.1g  2.8g Sodium 682mg  214mg",null,1.7g,9.1g,682mg,1930kJ,8.3g
78,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1770kJ  232kJ Protein 3.4g  0.4g Fat, total 12.0g  1.6g – saturated 8.1g  1.1g Carbohydrate 73.7g  9.7g – sugars 43.5g  5.7g Sodium 209mg  27mg","Sugar, Wheat Flour, Raspberry Flavoured Filling (14%) [Sugar, Apples, Glucose (From Wheat, Raspberries, Fruit Fibre, Gelling Agent (Pectin), Food Acids (E330, E331), Food Colours (Allure Red AC, Caramel Ill (From Wheat)), Flavour], Desiccated Coconut (7%), Vegetable Oil (Contains Antioxidants (Soy Lecithin, E3076 From Soy)), Wheat Starch, Milk Powder, Cocoa Powder (0.5%), Salt, Humectant (E422), Gelatine, Baking Powder, Natural Flavour, Food Colour (Beet Red). View more",8.1g,43.5g,209mg,1770kJ,3.4g
79,null,null,null,null,null,null,null,null
80,null,null,null,null,null,null,null,null
81,"Cereals (Corn, Rice), Canola Oil Maltodextrin, Rice Bran, Salt, Sugar, Hydrolysed Vegetable Protein (Soy), Flavour Enhancer (621), Food Acids (Sodium Diacetate, Citric Acid), Flavour, Mineral Salt (Potassium Chloride), Yeast Extracts, Onion Powder, Tomato Powder","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2120kJ  574kJ Protein 6.8g  1.8g Fat, total 25.1g  6.8g – saturated 2.0g  0.5g Carbohydrate 62.7g  16.9g – sugars 2.6g  0.7g Sodium 959mg  259mg",null,2.0g,2.6g,959mg,2120kJ,6.8g
82,"Wheat Flour, Vegetable Oil (contains Antioxidant (304)), Sugar, Fructose Syrup, Salt, Raising Agents (500, 341, 503), Emulsifier (Soy Lecithin)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx. 2150kJ  Approx. 430kJ Protein Approx. 6.3g  Approx. 1.3g Fat, total Approx. 26.6g  Approx. 5.3g – saturated Approx. 12.1g  Approx. 2.4g Carbohydrate Approx. 60.3g  Approx. 12.1g – sugars Approx. 7.6g  Approx. 1.5g Sodium Approx. 425mg  Approx. 85mg",null,Approx. 12.1g,Approx. 7.6g,Approx. 425mg,Approx. 2150kJ,Approx. 6.3g
83,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1650kJ  Approx.520kJ Protein Approx.6.8g  Approx.2.1g Fat, total Approx.12.2g  Approx.3.8g – saturated Approx.4.7g  Approx.1.5g Carbohydrate Approx.59g  Approx.18.5g – sugars Approx.16.5g  Approx.5.2g Sodium Approx.18mg  Approx.6mg","Muesli Blend:  [Rolled  Oats  (34%),  Wheat  (11%), Breakfast Cereal (Whole Grain  Wheat  (5%),  W  Heat  Flour,  Wheat  Bran, Sugar, Vitamin E), Coconut,  Milk  Powder], Glucose, Yoghurt Compound ( Milk ) [Sugar, Vegetable Fat, Yoghurt Powder (1.3%), Whey Powder, Emulsifiers ( Soy  Lecithin, 492), Food Acid (Citric)], Chicory Root Fibre, Sunflower Oil, Sugar, Humectant (Glycerine), Modified Starch (1412), Invert Sugar, Honey (0.8%), Natural Flavour, Emulsifier ( Soy  Lecithin)       Contains: Gluten (Wheat and Oats), Milk and Soy.        May Contain Other Gluten Containing Ingredients and Lupin.          Suitable for Vegetarians View more",Approx.4.7g,Approx.16.5g,Approx.18mg,Approx.1650kJ,Approx.6.8g
84,"Sugar, Wheat Flour, Milk Solids, Vegetable Oils, Cocoa Mass, Cocoa Butter, Cocoa Powder, Glucose Syrup, Raising Agents (503, 500), Emulsifiers (442, 476, Soy Lecithin, Sunflower Lecithin), Cornstarch, Salt, Flavours, Antioxidants (307b, 321, 320, 304).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2070kJ  705kJ Protein 6.6g  2.3g Fat, total 23.4g  8.0g – saturated 12.6g  4.3g Carbohydrate 64.9g  22.1g – sugars 46.4g  15.8g Sodium 291mg  99mg",null,12.6g,46.4g,291mg,2070kJ,6.6g
85,"Wheat Flour, Sugar, Vegetable Oil, Cocoa Powder, Glucose Syrup, Salt, Raising Agents (500, 503), Emulsifier (Soy Lecithin), Flavours, Antioxidant (319, 304, 307b).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2020kJ  576kJ Protein 4.7g  1.3g Fat, total 19.6g  5.6g – saturated 11.3g  3.2g Carbohydrate 70.6g  20.1g – sugars 41.9g  11.9g Sodium 554mg  158mg",null,11.3g,41.9g,554mg,2020kJ,4.7g
86,"Vegetable Chips (Corn, Chickpeas (25%)), Sunflower Oil, Salt.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2139  535 Protein 11.4  2.9 Fat, total 28.1  7.0 – saturated 3.2  0.8 Carbohydrate 49.2  12.3 – sugars 0.7  0.2 Sodium 315  79",null,3.2,0.7,315,2139,11.4
87,"Popping Corn (78%), Vegetable Oils [contains Antioxidants (307b, 304)], Salt, Natural Flavour (contains Milk), Colour (Annatto).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1960kJ  490kJ Protein 8.4g  2.1g Fat, total 21.5g  5.4g – saturated 4.4g  1.1g Carbohydrate 55.4g  13.9g – sugars 0.8g  0.2g Sodium 390mg  98mg",null,4.4g,0.8g,390mg,1960kJ,8.4g
88,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2030kJ  715kJ Protein 5.5g  1.9g Fat, total 20.6g  7.3g – saturated 12.5g  4.4g Carbohydrate 67.0g  23.6g – sugars 64.0g  22.5g Sodium 71mg  25mg","Milk Chocolate 75% (Sugar, Cocoa Mass, Skim Milk Powder, Lactose, Cocoa Butter, Vegetable Fat (Palm, Coconut and Shea), Milk Fat, Emulsifier (Soy Lecithin), Salt, Natural Flavour), Sugar, Starch (Sources include Wheat), Glucose Syrup (Sources include Wheat), Vegetable Gum (Gum Acacia). Colours (Titanium Dioxide, Sunset Yellow, Tartrazine, Allura Red, Brilliant Blue), Thickener (Dextrin), Sugar, Glazing Agent (Carnauba Wax). Contains Permitted Flavouring Agent and Colour, Permitted Emulsifier from Soy, Thickeners from Gum Arabic and Dextrin, and Glazing Agent from Carnauba Wax as Permitted Food Conditioners. View more",12.5g,64.0g,71mg,2030kJ,5.5g
89,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1750kJ  Approx.438kJ Protein Approx.3.4g  <1g Fat, total Approx.11.3g  Approx.2.8g – saturated Approx.6.9g  Approx.1.7g Carbohydrate Approx.75g  Approx.18.8g – sugars Approx.46.8g  Approx.11.7g Sodium Approx.21mg  Approx.5mg","Raspberry Flavoured Liquorice (70%) (Glucose Syrup (Glucose Syrup, Preservative (223)), Sugar, Wheat Flour, Water, Citric Acid, Natural Colour (Beet Red), Liquorice Extract (0.5%), Natural Raspberry Flavour, Emulsifier (471)), Milk Chocolate (30%) (Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Emulsifier (Soy Lecithin), Natural Vanilla Flavour, Salt), Milk Chocolate contains 35% Cocoa Solids and 20% Milk Solids View more",Approx.6.9g,Approx.46.8g,Approx.21mg,Approx.1750kJ,Approx.3.4g
90,Almonds,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2533kj  760kj Protein 21.1g  6.3g Fat, total 54.6g  16.4g – saturated 3.8g  1.1g Carbohydrate 9.7g  2.9g – sugars 4g  1.2g Sodium 9mg  3mg",null,3.8g,4g,9mg,2533kj,21.1g
91,"Glucose Syrup, Sugar (contains Sulphites), Water, Pork Gelatine, Humectant (Glycerine), Acidity Regulators (Citric Acid, Malic Acid), Natural Flavours (Strawberry, Orange, Blueberry, Pineapple), Natural Colours (Spirulina Concentrate, Curcumin, Cochineal, Carotenes), Coconut Oil, Thickener (Pectin), Glazing Agent (903)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1620kJ  Approx.404kJ Protein Approx.7.4g  Approx.1.9g Fat, total Approx.0.1g  <0.1g – saturated Approx.0.1g  <0.1g Carbohydrate Approx.87.5g  Approx.21.9g – sugars Approx.55.4g  Approx.13.9g Sodium Approx.3mg  Approx.1mg",null,Approx.0.1g,Approx.55.4g,Approx.3mg,Approx.1620kJ,Approx.7.4g
92,"Potatoes, Vegetable Oil, Salt.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2200kJ  990kJ Protein 7.4g  3.3g Fat, total 33.4g  15.0g – saturated 15.6g  7.0g Carbohydrate 49.4g  22.2g – sugars 3.2g  1.5g Sodium 717mg  323mg",null,15.6g,3.2g,717mg,2200kJ,7.4g
93,"Wheat Flour, Sugar, Vegetable Oil, Golden Syrup, Salt, Milk Powder, Baking Powder, Emulsifier (Soy Lecithin), Antioxidant (E307b from Soy).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1830kJ  472kJ Protein 6.6g  1.7g Fat, total 11.0g  2.8g – saturated 5.4g  1.4g Carbohydrate 75.7g  19.5g – sugars 23.4g  6.0g Sodium 284mg  73mg",null,5.4g,23.4g,284mg,1830kJ,6.6g
94,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1930kJ  Approx.579kJ Protein Approx.10g  Approx.3g Fat, total Approx.23.8g  Approx.7.1g – saturated Approx.9.3g  Approx.2.8g Carbohydrate Approx.45.7g  Approx.13.7g – sugars Approx.21.9g  Approx.6.6g Sodium Approx.388mg  Approx.116mg","Roasted Peanuts (18%) (Peanuts, Sunflower Oil), Whole Grain Oats (11%), Dark Chocolate Chunks (10%) (Cocoa Mass, Sugar, Cocoa Butter, Soy, Lecithin), Chicory Root Extract, Vegetable Fats and Oils, Glucose Syrup, Wheat Flour, Sugar, Wheat Maltodextrin, Almond Pieces (4%), Fructose, Fat-reduced Cocoa Powder, Rice Flour, Lactose, Peanut Butter, Salt, Humectant (Glycerin), Emulsifiers (Sunflower Lecithin, Soy Lecithin), Antioxidant (Tocopherols Concentrate), Honey, Flavours (contains Milk), Wheat Dextrose, Wheat Germ, Dark Chocolate contains 50 % Cocoa Solids View more",Approx.9.3g,Approx.21.9g,Approx.388mg,Approx.1930kJ,Approx.10g
95,"Potato Flakes, Corn Starch, Canola Oil, Sugar, Wheat Flour, Whey Powder (Milk), Salt, Sunflower Lecithin, Maltodextrin, Natural Flavours, Onion Powder, Raising Agents (341, 500), Herbs (Parsley, Thyme, Rosemary), Chicken Fat, Natural Colour (Curcumin).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1890kJ  472kJ Protein 5.5g  1.4g Fat, total 16.1g  4.0g – saturated 1.4g  0.3g Carbohydrate 69.1g  17.3g – sugars 7.4g  1.8g Sodium 558mg  140mg",null,1.4g,7.4g,558mg,1890kJ,5.5g
96,"Jelly (70%) (Water, Sugar, Gelling Agents (Carrageenan, Locust bean Gum, Xanthan Gum), Acidity Regulators (Sodium Citrates, Potassium Citrates, Calcium Lactate, Malic Acid, Citric Acid), Natural Flavour, Natural Colour (Carotenes), Antioxidant (Ascorbic Acid)), Apple (30%).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 319kJ  383kJ Protein 0.1g  0.1g Fat, total <0.1g  <0.1g – saturated <0.1g  <0.1g Carbohydrate 18.2g  21.8g – sugars 18.0g  21.6g Sodium 37mg  44mg",null,<0.1g,18.0g,37mg,319kJ,0.1g
97,"Popcorn (80%), sunflower oil - high oleic, sea salt.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1987kJ  Approx.397kJ Protein Approx.7.2g  Approx.1.4g Fat, total Approx.24.6g  Approx.4.9g – saturated Approx.2.3g  Approx.0.5g Carbohydrate Approx.49.9g  Approx.10g – sugars Approx.0.9g  Approx.0.2g Sodium Approx.360mg  Approx.72mg",null,Approx.2.3g,Approx.0.9g,Approx.360mg,Approx.1987kJ,Approx.7.2g
98,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2090kJ  418kJ Protein 14.8  3.0g Fat, total 31.3g  6.3g – saturated 6.3g  1.3g Carbohydrate 35.1g  7.0g – sugars 18.7g  3.7g Sodium 34mg  7mg","Nuts 55% (Peanuts, Almonds), Glucose, Fruit (Dates 7% [Dates, Rice Flour], Currants), Caramel Compound 6% (Sugar, Vegetable Oil, Milk Solids, Cocoa Powder, Emulsifier [Soy Lecithin], Natural Flavours, Natural Colour [Paprika Extract, Lutein], Salt), Soluble Corn Fibre, Brown Rice Syrup, Puffed Rice, Pepitas, Golden Syrup, Psyllium Husk, Natural Caramel Flavour, Cinnamon, Sea Salt. View more",6.3g,18.7g,34mg,2090kJ,14.8
99,"Savoury crackers with choc flavoured creme (30%).
Wheat flour, Vegetable oil (contains Antioxidants (307, 304)), Sugar, Cocoa Powder, Fructose Syrup, Salt, Cornstarch, Raising Agents (500, 341, 503), Emulsifier (Soy Lecithin), Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2150kJ  580kJ Protein 5.2g  1.4g Fat, total 26.2g  7.1g – saturated 12.0g  3.2g Carbohydrate 62.3g  16.8g – sugars 23.5g  6.3g Sodium 309mg  83mg",null,12.0g,23.5g,309mg,2150kJ,5.2g
100,"Cocoa Mass, Sugar, Cocoa Butter, Cocoa Powder, Butter Oil (Contains Milk), Natural Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2480kJ  496kJ Protein 7.3g  1.5g Fat, total 47.7g  9.5g – saturated 28.9g  5.8g Carbohydrate 30.1g  6g – sugars 25.7g  5.1g Sodium 8mg  2mg",null,28.9g,25.7g,8mg,2480kJ,7.3g
